route_pattern_id,route_id,direction_id,route_pattern_name,route_pattern_time_desc,route_pattern_typicality,route_pattern_sort_order,representative_trip_id
33-6-0,33,0,Mattapan Station - River St & Milton St (PM Route),Weekdays only,2,50330004,45522505
33-1-0,33,0,Mattapan Station - River St & Milton St via Westinghouse Plz,AM peak hours only,3,50330006,45522518
33-5-1,33,1,River St & Milton St - Mattapan Station (AM Route),,1,50330100,45522490
33-6-1,33,1,River St & Milton St - Mattapan Station via West Milton St (PM Route),Weekdays only,2,50330104,45522506
33-1-1,33,1,River St & Milton St - Mattapan Station via Westinghouse Plz,Weekdays only,3,50330106,45523698
33-7-1,33,1,River St & Milton St - Forest Hills Station via W Milton St,Weekdays only,3,50330107,45522515
33-4-1,33,1,River St & Milton St - Forest Hills Station,,3,50330109,45525235
34-3-0,34,0,Forest Hills Station - Dedham Mall,,1,50340000,45523100
34-_-0,34,0,Forest Hills Station - Dedham Line,,3,50340004,45523095
34-K-0,34,0,Townsend St & Humboldt Ave - Dedham Line via Forest Hills,School days only,3,50340007,45522817
34-3-1,34,1,Dedham Mall - Forest Hills Station,,1,50340100,45522711
34-_-1,34,1,Dedham Line - Forest Hills Station,,3,50340104,45523096
34E-4-0,34E,0,Forest Hills Station - Walpole Center,,1,50341000,45522487
34E-2-0,34E,0,Forest Hills Station - Walpole Center via Walpole St,Weekdays only,2,50341004,45522542
34E-6-0,34E,0,Forest Hills Station - East Walpole,,2,50341006,45522906
34E-1-1,34E,1,Walpole Center - Forest Hills Station,,1,50341100,45522528
34E-6-1,34E,1,East Walpole - Forest Hills Station,,2,50341104,45522907
34E-2-1,34E,1,Walpole Center - Forest Hills Station via Walpole St,Weekdays only,3,50341107,45522488
35-1-0,35,0,Forest Hills Station - Dedham Mall,,1,50350000,45523303
35-_-0,35,0,Forest Hills Station - Stimson St & Washington St,Mornings only,2,50350004,45523374
35-1-1,35,1,Dedham Mall - Forest Hills Station,,1,50350100,45523307
35-_-1,35,1,Stimson St & Washington St - Forest Hills Station,,2,50350104,45523372
36-8-0,36,0,"Forest Hills Station - VA Hospital, West Roxbury",,1,50360000,45522536
36-1-0,36,0,Forest Hills Station - Millennium Park,Weekdays only,2,50360004,45522589
36-_-0,36,0,Forest Hills Station - Charles River Loop,Weekday early mornings only,3,50360006,45522615
36-5-0,36,0,Forest Hills Station - Rivermoor Industrial Park,Weekday evenings only,3,50360007,45522593
36-G-0,36,0,Roslindale Square - Millennium Park,School days only,3,50360008,45523711_3
36-8-1,36,1,"VA Hospital, West Roxbury - Forest Hills Station",,1,50360100,45522537
36-1-1,36,1,Millennium Park - Forest Hills Station,Weekdays only,2,50360104,45522590
36-_-1,36,1,Charles River Loop - Forest Hills Station,Weekdays only,3,50360106,45522616
36-5-1,36,1,Rivermoor Industrial Park - Forest Hills Station,Weekday evenings only,3,50360108,45522594
36-9-1,36,1,Charles River Loop - Townsend & Humboldt via Forest Hills,School days only,3,50360109,45522812
36-H-1,36,1,Brother Heeran Way - Roslindale Square,School days only,3,50360110,45523710_1
37-_-0,37,0,Forest Hills Station - Baker St & Vermont St,,1,50370000,45522623
37-D-0,37,0,Forest Hills Station - LaGrange St & Corey St,School days only,3,50370004,45523718_2
